Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Ecuador,8259,7025,388208,910112,,Ecuador,2022,18001,"0,850587238164427","0,458807844008666",63,Ecuador
Egypt,31942,15227,3501014,7717536,,"Egypt Arab Rep,",2022,110990.1,"0,476707782856427","0,287791433650389",64,Egypt
El Salvador,375,268,24978,34652,,El Salvador,2022,6336.39,"0,714666666666667","0,05918196323143",208,El Salvador
Equatorial Guinea,15,13,529,2458,,Equatorial Guinea,2022,1674.91,"0,866666666666667","0,008955705082661",88,Equatorial Guinea
Eritrea,50,41,12949,15299,,Eritrea,2022,3684.03,"0,82","0,013572093604015",65,Eritrea
Estonia,208,1294,999209,1277556,,Estonia,2022,1344.77,"6,22115384615385","0,154673289856258",68,Estonia
Eswatini,117,79,10931,29712,,Eswatini,2022,1201.67,"0,675213675213675",,,
Ethiopia,7798,6342,715914,1580790,,Ethiopia,2022,123379.92,"0,813285457809695","0,097364501069345",69,Ethiopia
Faroe Islands,89,61,2678,3564,,Faroe Islands,2022,53.09,"0,685393258426966","1,67639856846864",78,Faroe Islands
Fiji,278,169,84854,12682,,Fiji,2022,929.77,"0,607913669064748","0,298998677092184",70,Fiji
Finland,14381,10645,10666080,10422413,,Finland,2022,5556.88,"0,740212780752382","2,58796302961374",6,Finland
France,69496,34183,59328924,56741018,,France,2022,67935.66,"0,491870035685507","1,02296790816487",77,France
French Guiana,95,71,42178,53293,,,,,"0,747368421052632",#DIV/0 !,74,French Guiana
French Polynesia,70,36,48493,55335,,French Polynesia,2022,306.28,"0,514285714285714","0,228549040094032",191,French Polynesia
Gabon,171,130,81794,84895,,Gabon,2022,2388.99,"0,760233918128655","0,071578365752891",80,Gabon
Gambia,278,226,129747,99515,,Gambia The,2022,2705.99,"0,81294964028777","0,102735043366753",86,Gambia
Georgia,4602,1613,5426540,3816445,,Georgia,2022,3712.5,"0,350499782703173","1,23959595959596",82,Georgia
Germany,113518,73503,88189231,88366808,,Germany,2022,84079.81,"0,647500836871686","1,35012198528993",57,Germany
